"","space","transit","access","house_rules","host_since","host_about","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","zipcode","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","reviews_per_month","occupancy_rate","EntirePlace","PrivateRoom","SharedRoom","Respond_WithinDay","Respond_WithinFewHours","Respond_WithinTheHour","Apartment","BedNBreakdast","Condominium","GuestSuite","House","Loft","Other","ServicedApartment","Townhouse","Bed_Couch","Bed_Futon","Bed_PullOutSofa","Bed_Bed","Cancel_Flexible","Cancel_Moderate","Cancel_Strict","hasTV","hasInternet","hasWifi","hasShampoo","hasHeat","hasAC","hasBreakfast","hasDesk","hasFireplace","hasIron","hasHairDryer","hasPrivateEnt","hasKitchen","isFamilyFriendly","square_meter","propertyPrice","IncomePerMonth"
"568","1","1","1","1","2013","1","0",1,"1",1,"75009",48.875944457238,2.34741747608989,"2","1","1","1",377,80,300,40,"1",0,2,21,29,95,10,9,10,10,10,9,"0","0",0.43,0.114666666666667,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","35.024431","304082.109942",275.200000000001
"569","1","1","1","1","2013","1","0",1,"1",0,"75020",48.8676451359705,2.40821555245857,"4","1","0","2",323,65,350,30,"1",0,3,30,126,93,10,10,10,10,9,9,"0","0",1.83,0.488,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","0","0","1","1","0","1","1","30.007669","203812.087848",951.6
"570","1","1","1","1","2012","1","0",1,"1",1,"75011",48.8658591131188,2.37411052619522,"4","2","2","2",269,120,1500,60,"3",15,300,365,2,100,10,10,10,10,10,10,"0","0",0.03,0.008,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","1","1","0","1","0","24.990907","203950.792027",28.8
"571","1","1","1","1","2010","1","0",2,"1",0,"75011",48.8623740219382,2.37255349909265,"2","1","1","1",183,57,100,15,"1",20,2,30,19,99,10,10,10,10,10,10,"1","0",2.05,0.546666666666667,"0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","1","17.001249","138747.193089",934.800000000001
"572","1","1","0","1","2012","1","0",1,"1",0,"75014",48.8405991233123,2.33361543453943,"2","1","0","1",248,70,200,30,"2",20,14,1125,75,93,9,9,10,10,10,9,"1","0",1.08,0.288,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","0","1","0","1","0","23.039944","192798.251392",604.8
"573","1","1","1","1","2012","1","1",2,"1",1,"75014",48.8284542317003,2.333674481869,"2","1","1","1",172,55,0,6,"1",0,2,7,52,95,10,10,10,10,9,9,"0","0",1.38,0.368,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","1","1","0","0","1","0","1","1","0","1","0","15.979316","133714.916288",607.2
"576","1","1","1","1","2012","1","0",1,"1",1,"75018",48.8841233770766,2.3561484611995,"2","1","1","1",161,55,0,0,"2",0,2,7,51,94,10,10,10,10,9,9,"0","0",1.01,0.269333333333333,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","0","0","1","1","0","1","0","14.957383","110983.78186",444.399999999999
"577","1","0","0","1","2013","1","1",1,"1",1,"75004",48.8577616050781,2.35560856520647,"3","1","0","2",269,90,200,0,"2",30,2,31,390,97,10,10,10,10,10,10,"1","0",5.64,1,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","1","1","0","1","1","1","1","1","24.990907","291269.021085",2700
"578","1","1","0","1","2011","1","0",1,"1",0,"75008",48.8669581318763,2.30792095795495,"4","1","1","2",431,86,300,40,"2",30,3,120,62,96,10,9,10,10,10,9,"0","0",0.93,0.248,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","40.041193","430923.319066",639.84
"579","1","0","0","1","2012","1","0",2,"1",1,"75012",48.8469538780314,2.37597241529855,"3","1","1","1",441,500,300,5,"2",40,50,1125,1,100,10,10,10,10,10,10,"0","0",0.02,0.00533333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","0","40.970223","316454.002452",79.9999999999999
"580","1","1","1","1","2010","1","0",87,"1",0,"75005",48.8489292502423,2.34237213471741,"3","1","1","2",452,175,900,60,"1",0,5,1125,16,83,8,8,8,8,10,8,"0","0",0.29,0.0773333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","1","0","0","0","1","1","0","1","1","41.992156","454691.065168",406
"581","1","0","1","1","2013","1","0",1,"1",1,"75004",48.8559636292285,2.36648834110671,"3","1.5","1","1",646,150,123,41,"2",16,2,1125,68,95,9,9,10,9,10,9,"0","0",1,0.266666666666667,"1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","60.015338","699478.76439",1200
"582","1","0","0","0","2012","1","0",1,"1",0,"75010",48.8708298530559,2.34783198775925,"2","1","1","1",323,80,300,30,"2",0,2,30,51,93,10,10,10,10,9,10,"0","0",0.75,0.2,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","1","0","0","1","0","0","0","0","1","0","30.007669","231599.189342",480
"583","1","1","1","1","2013","1","0",57,"1",1,"75002",48.8638677437734,2.3503360682535,"3","1","0","2",226,98,275,44,"2",0,3,365,43,86,9,9,8,9,10,9,"0","0",0.64,0.170666666666667,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","0","20.996078","196124.364598",501.760000000001
"584","1","1","1","1","2013","1","0",2,"1",1,"75011",48.8645806507698,2.37716131029433,"4","1","1","2",495,78,0,0,"1",0,2,4,77,94,9,9,10,10,10,10,"0","0",1.19,0.317333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","45.986985","375299.784585",742.559999999999
"585","1","1","1","1","2013","0","0",1,"1",1,"75016",48.8605301934569,2.2865269422938,"4","1","2","2",807,159,600,50,"1",0,4,60,19,99,10,10,10,10,10,10,"0","0",0.41,0.109333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","0","1","1","74.972721","663583.553571",521.519999999998
"586","1","1","1","0","2011","1","0",1,"1",0,"75011",48.8642684259723,2.36996445095706,"4","1","2","3",388,150,500,30,"1",0,2,1125,25,96,9,9,10,10,10,9,"0","0",0.37,0.0986666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","1","0","0","0","0","0","1","0","1","1","36.046364","294174.376604",444
"587","1","1","1","1","2013","1","0",1,"1",0,"75011",48.8547215608269,2.38133851433303,"2","1","1","1",409,85,200,0,"2",0,4,1125,8,93,9,9,10,10,10,9,"0","0",0.66,0.176,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","1","0","1","0","0","1","0","37.997327","310096.185647",448.8
"588","1","1","1","1","2012","1","0",2,"1",1,"75005",48.8380851395652,2.35161113398164,"5","1","2","3",969,177,600,0,"4",10,4,21,26,96,10,10,10,10,10,10,"1","0",0.4,0.106666666666667,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","1","1","0","1","1","90.023007","974769.119796",566.400000000002
"589","1","0","1","1","2013","1","0",2,"1",1,"75011",48.8571751711124,2.37009099010197,"2","1","1","1",861,200,600,60,"2",0,3,15,45,98,10,10,10,10,10,9,"0","0",0.68,0.181333333333333,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","79.989483","652794.170763",1088
"591","1","0","0","1","2013","1","0",3,"1",0,"75005",48.8391224104042,2.3521470158193,"8","2","4","5",969,240,500,50,"6",10,2,1125,40,95,10,10,10,10,9,9,"0","0",0.62,0.165333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","1","90.023007","974769.119796",1190.4
"592","1","1","1","1","2012","1","0",1,"1",1,"75004",48.8588839168032,2.35444195916792,"8","4.5","4","4",2000,990,500,0,"1",0,4,14,3,100,10,10,10,10,10,9,"0","0",0.43,0.114666666666667,"1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","1","0","0","0","1","1","185.806","2165568.93",3405.60000000001
"593","1","1","1","1","2013","1","0",2,"1",0,"75011",48.866554907552,2.36587959981942,"2","1","1","2",108,45,1000,0,"1",20,1,90,14,98,10,10,10,10,10,10,"0","0",0.25,0.0666666666666667,"0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","1","0","1","1","0","1","1","10.033524","81883.589364",90
"594","1","0","0","1","2012","1","1",1,"1",1,"75003",48.86753896092,2.35801543510346,"6","2","2","5",861,115,500,50,"2",20,3,30,48,96,10,10,10,10,9,10,"0","0",0.72,0.192,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","79.989483","823571.716968",662.4
"595","1","1","1","1","2012","1","0",1,"1",0,"75018",48.8914167126913,2.34178038977106,"2","1","1","1",269,45,500,10,"1",20,5,21,5,100,10,9,10,10,10,10,"0","0",0.12,0.032,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","1","0","1","0","0","0","1","0","1","0","24.990907","185432.52994",43.2
"596","1","0","0","0","2013","1","0",1,"1",0,"75018",48.8902969347568,2.34388269973831,"5","1","2","4",861,160,250,50,"4",10,3,1125,23,88,9,9,9,9,10,9,"0","0",1.2,0.32,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","1","0","1","1","79.989483","593521.96386",1536
"597","1","1","1","1","2013","1","0",1,"1",0,"75012",48.8389042094845,2.39825011399637,"2","1","2","1",538,50,200,15,"1",0,7,15,27,82,8,7,9,9,9,9,"0","0",1.01,0.269333333333333,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","1","0","49.981814","386059.531336",403.999999999999
